Modèle,AUC-ROC,PR-AUC,F1-Score,Recall Fraude,Précision,Temps (s)
Random Forest,0.9729253758340702,0.8680327105455872,0.8421052631578947,0.8163265306122449,0.8695652173913043,37087.3
XGBoost,0.9801971119061017,0.8644093478207722,0.717948717948718,0.8571428571428571,0.6176470588235294,40.2
LightGBM,0.9772299536021499,0.8565739849469003,0.7142857142857143,0.8673469387755102,0.6071428571428571,32.5
Logistic Regression,0.9712187438987976,0.7235019152901967,0.11097410604192355,0.9183673469387755,0.05905511811023622,48.6
